UID	CMPD_ID	ISOMER_ID	CLUSTER_ID	ENERGY	INCHI_KEY	CANON_SMILES	ISO_SMILES
AD3CC00205978-I00-C00	AD3CC00205978	0	0	91.35381583589356	RPFSNCZTTYGYDI-UHFFFAOYSA-N	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5n[nH]cc5c4)n3)c3ccccc23)n(-c2ccc(=O)n(CCN3CCOCC3)c2)n1	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5n[nH]cc5c4)n3)c3ccccc23)n(-c2ccc(=O)n(CCN3CCOCC3)c2)n1
AD3CC00212220-I00-C00	AD3CC00212220	0	0	106.50090890767	HMSOXHQGIBFTQM-UHFFFAOYSA-N	Cc1cccc(-c2nn(CC(=S)Nc3cccc(C#N)c3)cc2-c2ccc3ncnn3c2)n1	Cc1cccc(-c2nn(CC(=S)Nc3cccc(C#N)c3)cc2-c2ccc3ncnn3c2)n1
AD3CC00240025-I00-C00	AD3CC00240025	0	0	40.06873676896839	ILBWXVMHRKTJCY-UHFFFAOYSA-N	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4cccc5[nH]ncc45)n3)c3ccccc23)cc1	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4cccc5[nH]ncc45)n3)c3ccccc23)cc1
AD3CC00245857-I00-C01	AD3CC00245857	0	1	60.6662678469522	FTODTSYAAMJVFE-UHFFFAOYSA-N	CCCc1c(C(=O)Nc2cc(C#N)ccc2C)cnn1-c1ccccc1	CCCc1c(C(=O)Nc2cc(C#N)ccc2C)cnn1-c1ccccc1
AD3CC00249651-I00-C00	AD3CC00249651	0	0	131.69979351487103	VCSYGZJLTSXJIR-USHMODERSA-N	COc1ccc(N2C(=O)/C(=C/c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)N=C2c2ccccc2)cc1	COc1ccc(N2C(=O)/C(=C/c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)N=C2c2ccccc2)cc1
AD3CC00252269-I00-C00	AD3CC00252269	0	0	71.3491008256011	AAXTYXQSGJCLLL-UHFFFAOYSA-N	Cc1ccc(F)c(-c2[nH]c(CNc3cccc(C#N)c3)nc2-c2ccc3ncnn3c2)n1	Cc1ccc(F)c(-c2[nH]c(CNc3cccc(C#N)c3)nc2-c2ccc3ncnn3c2)n1
AD3CC00252293-I00-C00	AD3CC00252293	0	0	56.95670186203687	RQENBOYWBCAECL-UHFFFAOYSA-N	C=Cc1cccc(NCc2nc(-c3ccc4ncnn4c3)c(-c3ccc(F)c(C)n3)[nH]2)c1	C=Cc1cccc(NCc2nc(-c3ccc4ncnn4c3)c(-c3ccc(F)c(C)n3)[nH]2)c1
AD3CC00255556-I00-C00	AD3CC00255556	0	0	114.3488807981882	AHJFDPDQMITANM-UHFFFAOYSA-N	COCC(=O)N(C)c1cc(COc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c3ccccc23)ccn1	COCC(=O)N(C)c1cc(COc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c3ccccc23)ccn1
AD3CC00256666-I00-C00	AD3CC00256666	0	0	11.321340528601276	YTNDIPNEFMPJKF-UHFFFAOYSA-N	NC(=O)c1nc(-c2ccns2)c2ccccn12	NC(=O)c1nc(-c2ccns2)c2ccccn12
AD3CC00268405-I00-C00	AD3CC00268405	0	0	112.21775151049953	MKJKFFODUSDVSK-UHFFFAOYSA-N	Cc1[nH]nc2cc(Nc3nccc(Oc4ccc(NC(=O)Nc5cc(C(C)(C)C)nn5-c5ccc(OCCN6CCOCC6)cc5)c5ccccc45)n3)ccc12	Cc1[nH]nc2cc(Nc3nccc(Oc4ccc(NC(=O)Nc5cc(C(C)(C)C)nn5-c5ccc(OCCN6CCOCC6)cc5)c5ccccc45)n3)ccc12
